people.sex|people.race|households.hh_income|people.age|households.hh_size|households.latitude|households.longitude|pumsp.hisp|pumsp.schl|pumsp.semp|pumsp.rac1p
2|1|27170|42|4|36.3003215|-76.2267470|01|10|000000|1
1|1|27170|47|4|36.3003215|-76.2267470|01|09|018000|1
1|1|27170|16|4|36.3003215|-76.2267470|01|06|000000|1
2|1|27170|11|4|36.3003215|-76.2267470|01|03||1
2|1|27170|42|4|36.0097670|-75.6768616|01|10|000000|1
1|1|27170|47|4|36.0097670|-75.6768616|01|09|018000|1
1|1|27170|16|4|36.0097670|-75.6768616|01|06|000000|1
2|1|27170|11|4|36.0097670|-75.6768616|01|03||1
2|1|27170|42|4|36.0837725|-76.4209760|01|10|000000|1
1|1|27170|47|4|36.0837725|-76.4209760|01|09|018000|1
1|1|27170|16|4|36.0837725|-76.4209760|01|06|000000|1
2|1|27170|11|4|36.0837725|-76.4209760|01|03||1
2|1|27170|42|4|36.0263523|-75.6725902|01|10|000000|1
1|1|27170|47|4|36.0263523|-75.6725902|01|09|018000|1
1|1|27170|16|4|36.0263523|-75.6725902|01|06|000000|1
2|1|27170|11|4|36.0263523|-75.6725902|01|03||1
2|1|27170|42|4|36.4212560|-76.0926915|01|10|000000|1
1|1|27170|47|4|36.4212560|-76.0926915|01|09|018000|1
1|1|27170|16|4|36.4212560|-76.0926915|01|06|000000|1
2|1|27170|11|4|36.4212560|-76.0926915|01|03||1
2|1|27170|42|4|36.5479654|-76.7355416|01|10|000000|1
1|1|27170|47|4|36.5479654|-76.7355416|01|09|018000|1
1|1|27170|16|4|36.5479654|-76.7355416|01|06|000000|1
2|1|27170|11|4|36.5479654|-76.7355416|01|03||1
2|1|27170|42|4|35.9338485|-76.4331470|01|10|000000|1
1|1|27170|47|4|35.9338485|-76.4331470|01|09|018000|1
1|1|27170|16|4|35.9338485|-76.4331470|01|06|000000|1
2|1|27170|11|4|35.9338485|-76.4331470|01|03||1
2|1|27170|42|4|36.3185231|-76.1595609|01|10|000000|1
1|1|27170|47|4|36.3185231|-76.1595609|01|09|018000|1
1|1|27170|16|4|36.3185231|-76.1595609|01|06|000000|1
2|1|27170|11|4|36.3185231|-76.1595609|01|03||1
2|1|27170|42|4|36.2436172|-76.0283066|01|10|000000|1
1|1|27170|47|4|36.2436172|-76.0283066|01|09|018000|1
1|1|27170|16|4|36.2436172|-76.0283066|01|06|000000|1
2|1|27170|11|4|36.2436172|-76.0283066|01|03||1
2|1|27170|42|4|36.0802171|-76.4340169|01|10|000000|1
1|1|27170|47|4|36.0802171|-76.4340169|01|09|018000|1
1|1|27170|16|4|36.0802171|-76.4340169|01|06|000000|1
2|1|27170|11|4|36.0802171|-76.4340169|01|03||1
2|1|27170|42|4|36.2482519|-76.5122641|01|10|000000|1
1|1|27170|47|4|36.2482519|-76.5122641|01|09|018000|1
1|1|27170|16|4|36.2482519|-76.5122641|01|06|000000|1
2|1|27170|11|4|36.2482519|-76.5122641|01|03||1
2|1|27170|42|4|36.5470825|-76.0035074|01|10|000000|1
1|1|27170|47|4|36.5470825|-76.0035074|01|09|018000|1
1|1|27170|16|4|36.5470825|-76.0035074|01|06|000000|1
2|1|27170|11|4|36.5470825|-76.0035074|01|03||1
2|1|14400|0|3|35.5704122|-80.3026907|01|||1
2|1|14400|28|3|35.5704122|-80.3026907|01|11|000000|1
1|1|14400|9|3|35.5704122|-80.3026907|01|02||1
2|1|14400|0|3|35.6631830|-80.4407381|01|||1
2|1|14400|28|3|35.6631830|-80.4407381|01|11|000000|1
1|1|14400|9|3|35.6631830|-80.4407381|01|02||1
2|1|14400|0|3|35.6385327|-80.4172630|01|||1
2|1|14400|28|3|35.6385327|-80.4172630|01|11|000000|1
1|1|14400|9|3|35.6385327|-80.4172630|01|02||1
2|1|14400|0|3|35.7253338|-80.5674072|01|||1
2|1|14400|28|3|35.7253338|-80.5674072|01|11|000000|1
1|1|14400|9|3|35.7253338|-80.5674072|01|02||1
2|1|14400|0|3|35.5102024|-80.6024964|01|||1
2|1|14400|28|3|35.5102024|-80.6024964|01|11|000000|1
1|1|14400|9|3|35.5102024|-80.6024964|01|02||1
2|1|14400|0|3|35.5830356|-80.5759258|01|||1
2|1|14400|28|3|35.5830356|-80.5759258|01|11|000000|1
1|1|14400|9|3|35.5830356|-80.5759258|01|02||1
2|1|14400|0|3|35.5724472|-80.3815976|01|||1
2|1|14400|28|3|35.5724472|-80.3815976|01|11|000000|1
1|1|14400|9|3|35.5724472|-80.3815976|01|02||1
2|1|14400|0|3|35.5703604|-80.3367580|01|||1
2|1|14400|28|3|35.5703604|-80.3367580|01|11|000000|1
1|1|14400|9|3|35.5703604|-80.3367580|01|02||1
2|1|14400|0|3|35.6147929|-80.5709661|01|||1
2|1|14400|28|3|35.6147929|-80.5709661|01|11|000000|1
1|1|14400|9|3|35.6147929|-80.5709661|01|02||1
2|1|14400|0|3|35.6942415|-80.3979936|01|||1
2|1|14400|28|3|35.6942415|-80.3979936|01|11|000000|1
1|1|14400|9|3|35.6942415|-80.3979936|01|02||1
2|1|14400|0|3|35.5879167|-80.3860979|01|||1
2|1|14400|28|3|35.5879167|-80.3860979|01|11|000000|1
1|1|14400|9|3|35.5879167|-80.3860979|01|02||1
2|1|14400|0|3|35.5883835|-80.5478434|01|||1
2|1|14400|28|3|35.5883835|-80.5478434|01|11|000000|1
1|1|14400|9|3|35.5883835|-80.5478434|01|02||1
2|1|14400|0|3|35.6069790|-80.5725248|01|||1
2|1|14400|28|3|35.6069790|-80.5725248|01|11|000000|1
1|1|14400|9|3|35.6069790|-80.5725248|01|02||1
2|1|7200|78|1|35.0687766|-80.8806211|01|06|000000|1
2|1|7200|78|1|35.3073129|-80.9790519|01|06|000000|1
2|1|7200|78|1|35.4580230|-80.8667455|01|06|000000|1
2|1|7200|78|1|35.0997897|-80.7192854|01|06|000000|1
2|1|7200|78|1|35.0915404|-80.7015006|01|06|000000|1
2|1|7200|78|1|35.4130733|-80.8306642|01|06|000000|1
2|1|7200|78|1|35.4421630|-80.9001183|01|06|000000|1
2|1|7200|78|1|35.1760964|-80.7058743|01|06|000000|1
2|1|7200|78|1|35.0573047|-80.7478762|01|06|000000|1
2|1|7200|78|1|35.0677666|-80.8818963|01|06|000000|1
2|1|7200|78|1|35.4612232|-80.9110554|01|06|000000|1
2|1|7200|78|1|35.0966128|-80.8603444|01|06|000000|1
2|1|7200|78|1|35.4825552|-80.8588821|01|06|000000|1
2|1|7200|78|1|35.4998104|-80.8649358|01|06|000000|1
2|1|7200|78|1|35.1545306|-80.7292531|01|06|000000|1
2|1|7200|78|1|35.3337133|-80.8589328|01|06|000000|1
2|1|7200|78|1|35.2343249|-80.9918231|01|06|000000|1
2|1|7200|78|1|35.2723690|-80.9697001|01|06|000000|1
2|1|7200|78|1|35.4503252|-80.8755345|01|06|000000|1
2|1|7200|78|1|35.1241544|-80.6847323|01|06|000000|1
2|1|7200|78|1|35.4898318|-80.8717872|01|06|000000|1
2|1|7200|78|1|35.4320317|-80.9328608|01|06|000000|1
2|1|7200|78|1|35.1426839|-80.7039774|01|06|000000|1
2|1|7200|78|1|35.1643753|-80.6131668|01|06|000000|1
2|1|7200|78|1|35.4235013|-80.8820639|01|06|000000|1
2|1|7200|78|1|35.1075039|-80.7546761|01|06|000000|1
2|1|7200|78|1|35.5067594|-80.8694869|01|06|000000|1
2|1|7200|78|1|35.2168046|-81.0004962|01|06|000000|1
2|1|7200|78|1|35.2212911|-80.9823448|01|06|000000|1
2|1|7200|78|1|35.2779134|-80.9760092|01|06|000000|1
2|1|7200|78|1|35.4474282|-80.8834170|01|06|000000|1
2|1|7200|78|1|35.1970467|-80.9995734|01|06|000000|1
1|1|28200|54|1|35.1838218|-80.7007207|01|11|000000|1
1|1|28200|54|1|35.4496685|-80.8760842|01|11|000000|1
1|1|28200|54|1|35.1327306|-80.6590476|01|11|000000|1
1|1|28200|54|1|35.0763157|-80.9867292|01|11|000000|1
1|1|28200|54|1|35.1240061|-80.7107397|01|11|000000|1
1|1|28200|54|1|35.1862304|-80.6947774|01|11|000000|1
1|1|28200|54|1|35.3738455|-80.7476842|01|11|000000|1
1|1|28200|54|1|35.1266027|-80.7153256|01|11|000000|1
1|1|28200|54|1|35.3677953|-80.8575638|01|11|000000|1
1|1|28200|54|1|35.3417927|-80.9038395|01|11|000000|1
1|1|28200|54|1|35.2866996|-80.7181061|01|11|000000|1
1|1|28200|54|1|35.4408633|-80.8844952|01|11|000000|1
1|1|28200|54|1|35.2004359|-80.6871681|01|11|000000|1
1|1|28200|54|1|35.0991559|-80.9616375|01|11|000000|1
1|1|28200|54|1|35.1573957|-80.7225862|01|11|000000|1
1|1|28200|54|1|35.1193726|-80.6824143|01|11|000000|1
1|1|28200|54|1|35.1842251|-80.6825877|01|11|000000|1
1|1|28200|54|1|35.0863809|-80.9932017|01|11|000000|1
1|1|28200|54|1|35.0647914|-80.8895848|01|11|000000|1
1|1|28200|54|1|35.3909394|-80.8816716|01|11|000000|1
1|1|28200|54|1|35.1026283|-80.7213548|01|11|000000|1
1|1|28200|54|1|35.0761083|-80.8871231|01|11|000000|1
1|1|28200|54|1|35.2741247|-80.7268052|01|11|000000|1
1|1|28200|54|1|35.3004167|-80.8942448|01|11|000000|1
1|1|28200|54|1|35.1008668|-80.8666817|01|11|000000|1
1|1|28200|54|1|35.3456117|-80.8122556|01|11|000000|1
1|1|28200|54|1|35.2176026|-80.6738308|01|11|000000|1
1|1|28200|54|1|35.2803088|-80.7193770|01|11|000000|1
1|1|28200|54|1|35.4728415|-80.8720862|01|11|000000|1
1|1|28200|54|1|35.1395570|-80.6616399|01|11|000000|1
1|1|28200|54|1|35.2129118|-80.5785114|01|11|000000|1
1|1|28200|54|1|35.2183729|-80.5805488|01|11|000000|1
1|1|28200|54|1|35.0550262|-80.7529801|01|11|000000|1
1|1|28200|54|1|35.4494070|-80.8830134|01|11|000000|1
1|1|28200|54|1|35.3429746|-80.7088793|01|11|000000|1
1|1|28200|54|1|35.4465325|-80.8857070|01|11|000000|1
1|1|28200|54|1|35.2582520|-80.6672028|01|11|000000|1
1|1|28200|54|1|35.4677751|-80.8877939|01|11|000000|1
1|1|28200|54|1|35.1090164|-80.7190935|01|11|000000|1
1|1|28200|54|1|35.3546259|-80.8598838|01|11|000000|1
1|1|28200|54|1|35.4215107|-80.8559877|01|11|000000|1
1|1|28200|54|1|35.1573553|-80.7356679|01|11|000000|1
1|1|28200|54|1|35.4674437|-80.8871740|01|11|000000|1
1|1|28200|54|1|35.4680665|-80.8872267|01|11|000000|1
1|1|28200|54|1|35.4689088|-80.8705567|01|11|000000|1
1|1|28200|54|1|35.4193511|-80.9054803|01|11|000000|1
1|1|28200|54|1|35.1121457|-80.7182284|01|11|000000|1
1|1|28200|54|1|35.0231466|-80.8187723|01|11|000000|1
1|1|28200|54|1|35.1087853|-80.7229904|01|11|000000|1
1|1|28200|54|1|35.4841087|-80.8961942|01|11|000000|1
1|1|28200|54|1|35.2244661|-80.9853956|01|11|000000|1
1|1|28200|54|1|35.3584185|-80.7441075|01|11|000000|1
1|1|28200|54|1|35.2341978|-80.9886424|01|11|000000|1
1|1|28200|54|1|35.0815474|-80.9873577|01|11|000000|1
1|1|28200|54|1|35.3093407|-80.7113802|01|11|000000|1
1|1|28200|54|1|35.3447556|-80.8596622|01|11|000000|1
1|1|28200|54|1|35.4116449|-80.7683769|01|11|000000|1
1|1|28200|54|1|35.1014886|-80.9764635|01|11|000000|1
1|1|28200|54|1|35.4150067|-80.8605448|01|11|000000|1
1|1|28200|54|1|35.2012811|-80.5801228|01|11|000000|1
1|1|28200|54|1|35.2494425|-80.6692920|01|11|000000|1
1|1|28200|54|1|35.1549020|-80.9289925|01|11|000000|1
2|1|87000|43|3|35.9745610|-80.4421562|01|09|000000|1
1|1|87000|38|3|35.9745610|-80.4421562|01|09|000000|1
2|1|87000|11|3|35.9745610|-80.4421562|01|03||1
2|1|87000|43|3|36.2875745|-80.2931253|01|09|000000|1
1|1|87000|38|3|36.2875745|-80.2931253|01|09|000000|1
2|1|87000|11|3|36.2875745|-80.2931253|01|03||1
2|1|87000|43|3|35.9835091|-80.4472389|01|09|000000|1
1|1|87000|38|3|35.9835091|-80.4472389|01|09|000000|1
2|1|87000|11|3|35.9835091|-80.4472389|01|03||1
2|1|87000|43|3|35.8971971|-80.6897501|01|09|000000|1
1|1|87000|38|3|35.8971971|-80.6897501|01|09|000000|1
2|1|87000|11|3|35.8971971|-80.6897501|01|03||1
2|1|87000|43|3|36.3824595|-80.1511475|01|09|000000|1
1|1|87000|38|3|36.3824595|-80.1511475|01|09|000000|1
2|1|87000|11|3|36.3824595|-80.1511475|01|03||1
2|1|87000|43|3|36.3340705|-80.1821617|01|09|000000|1
1|1|87000|38|3|36.3340705|-80.1821617|01|09|000000|1
2|1|87000|11|3|36.3340705|-80.1821617|01|03||1
2|1|87000|43|3|36.2946876|-80.3571049|01|09|000000|1
1|1|87000|38|3|36.2946876|-80.3571049|01|09|000000|1
2|1|87000|11|3|36.2946876|-80.3571049|01|03||1
2|1|87000|43|3|36.1040496|-80.6320035|01|09|000000|1
1|1|87000|38|3|36.1040496|-80.6320035|01|09|000000|1
2|1|87000|11|3|36.1040496|-80.6320035|01|03||1
2|1|87000|43|3|36.3308184|-80.4357179|01|09|000000|1
1|1|87000|38|3|36.3308184|-80.4357179|01|09|000000|1
2|1|87000|11|3|36.3308184|-80.4357179|01|03||1
2|1|87000|43|3|36.0259962|-80.4957535|01|09|000000|1
1|1|87000|38|3|36.0259962|-80.4957535|01|09|000000|1
2|1|87000|11|3|36.0259962|-80.4957535|01|03||1
2|1|87000|43|3|36.2701039|-80.3676493|01|09|000000|1
1|1|87000|38|3|36.2701039|-80.3676493|01|09|000000|1
2|1|87000|11|3|36.2701039|-80.3676493|01|03||1
2|1|87000|43|3|35.8802736|-80.6044693|01|09|000000|1
1|1|87000|38|3|35.8802736|-80.6044693|01|09|000000|1
2|1|87000|11|3|35.8802736|-80.6044693|01|03||1
2|1|87000|43|3|36.2162500|-80.7014701|01|09|000000|1
1|1|87000|38|3|36.2162500|-80.7014701|01|09|000000|1
2|1|87000|11|3|36.2162500|-80.7014701|01|03||1
2|1|87000|43|3|36.2752868|-80.3759770|01|09|000000|1
1|1|87000|38|3|36.2752868|-80.3759770|01|09|000000|1
2|1|87000|11|3|36.2752868|-80.3759770|01|03||1
2|1|87000|43|3|36.2322210|-80.8341757|01|09|000000|1
1|1|87000|38|3|36.2322210|-80.8341757|01|09|000000|1
2|1|87000|11|3|36.2322210|-80.8341757|01|03||1
2|1|87000|43|3|35.8988834|-80.5631198|01|09|000000|1
1|1|87000|38|3|35.8988834|-80.5631198|01|09|000000|1
2|1|87000|11|3|35.8988834|-80.5631198|01|03||1
2|1|87000|43|3|36.0270718|-80.4956317|01|09|000000|1
1|1|87000|38|3|36.0270718|-80.4956317|01|09|000000|1
2|1|87000|11|3|36.0270718|-80.4956317|01|03||1
2|1|87000|43|3|35.8876370|-80.5480788|01|09|000000|1
1|1|87000|38|3|35.8876370|-80.5480788|01|09|000000|1
2|1|87000|11|3|35.8876370|-80.5480788|01|03||1
2|1|87000|43|3|35.9309883|-80.4586003|01|09|000000|1
1|1|87000|38|3|35.9309883|-80.4586003|01|09|000000|1
2|1|87000|11|3|35.9309883|-80.4586003|01|03||1
2|1|87000|43|3|36.5348892|-80.2092850|01|09|000000|1
1|1|87000|38|3|36.5348892|-80.2092850|01|09|000000|1
2|1|87000|11|3|36.5348892|-80.2092850|01|03||1
2|1|87000|43|3|36.2271997|-80.7012410|01|09|000000|1
1|1|87000|38|3|36.2271997|-80.7012410|01|09|000000|1
2|1|87000|11|3|36.2271997|-80.7012410|01|03||1
2|1|87000|43|3|36.0377209|-80.6156747|01|09|000000|1
1|1|87000|38|3|36.0377209|-80.6156747|01|09|000000|1
2|1|87000|11|3|36.0377209|-80.6156747|01|03||1
2|1|87000|43|3|36.3946363|-80.1647298|01|09|000000|1
1|1|87000|38|3|36.3946363|-80.1647298|01|09|000000|1
2|1|87000|11|3|36.3946363|-80.1647298|01|03||1
2|1|87000|43|3|36.3418229|-80.2185924|01|09|000000|1
1|1|87000|38|3|36.3418229|-80.2185924|01|09|000000|1
2|1|87000|11|3|36.3418229|-80.2185924|01|03||1
2|1|87000|43|3|36.0059555|-80.6727725|01|09|000000|1
1|1|87000|38|3|36.0059555|-80.6727725|01|09|000000|1
2|1|87000|11|3|36.0059555|-80.6727725|01|03||1
2|1|87000|43|3|36.4411827|-80.2320270|01|09|000000|1
1|1|87000|38|3|36.4411827|-80.2320270|01|09|000000|1
2|1|87000|11|3|36.4411827|-80.2320270|01|03||1
2|1|87000|43|3|36.4117259|-80.1014934|01|09|000000|1
1|1|87000|38|3|36.4117259|-80.1014934|01|09|000000|1
2|1|87000|11|3|36.4117259|-80.1014934|01|03||1
1|2|38000|6|4|35.1122069|-78.9107956|24|02||2
1|2|38000|21|4|35.1122069|-78.9107956|01|09|000000|2
2|2|38000|24|4|35.1122069|-78.9107956|01|06|000000|2
2|2|38000|0|4|35.1122069|-78.9107956|03|||2
1|2|38000|6|4|35.1077079|-78.9112347|24|02||2
1|2|38000|21|4|35.1077079|-78.9112347|01|09|000000|2
2|2|38000|24|4|35.1077079|-78.9112347|01|06|000000|2
2|2|38000|0|4|35.1077079|-78.9112347|03|||2
1|2|38000|6|4|35.1373473|-78.8882580|24|02||2
1|2|38000|21|4|35.1373473|-78.8882580|01|09|000000|2
2|2|38000|24|4|35.1373473|-78.8882580|01|06|000000|2
2|2|38000|0|4|35.1373473|-78.8882580|03|||2
1|2|38000|6|4|35.0819121|-78.9010623|24|02||2
1|2|38000|21|4|35.0819121|-78.9010623|01|09|000000|2
2|2|38000|24|4|35.0819121|-78.9010623|01|06|000000|2
2|2|38000|0|4|35.0819121|-78.9010623|03|||2
1|2|38000|6|4|35.1194574|-78.8749001|24|02||2
1|2|38000|21|4|35.1194574|-78.8749001|01|09|000000|2
2|2|38000|24|4|35.1194574|-78.8749001|01|06|000000|2
2|2|38000|0|4|35.1194574|-78.8749001|03|||2
1|2|38000|6|4|35.1005980|-78.9233324|24|02||2
1|2|38000|21|4|35.1005980|-78.9233324|01|09|000000|2
2|2|38000|24|4|35.1005980|-78.9233324|01|06|000000|2
2|2|38000|0|4|35.1005980|-78.9233324|03|||2
1|2|38000|6|4|35.0795060|-78.8985214|24|02||2
1|2|38000|21|4|35.0795060|-78.8985214|01|09|000000|2
2|2|38000|24|4|35.0795060|-78.8985214|01|06|000000|2
2|2|38000|0|4|35.0795060|-78.8985214|03|||2
1|2|38000|6|4|35.0467258|-78.9563158|24|02||2
1|2|38000|21|4|35.0467258|-78.9563158|01|09|000000|2
2|2|38000|24|4|35.0467258|-78.9563158|01|06|000000|2
2|2|38000|0|4|35.0467258|-78.9563158|03|||2
1|2|38000|6|4|35.0720236|-78.8958012|24|02||2
1|2|38000|21|4|35.0720236|-78.8958012|01|09|000000|2
2|2|38000|24|4|35.0720236|-78.8958012|01|06|000000|2
2|2|38000|0|4|35.0720236|-78.8958012|03|||2
1|2|38000|6|4|35.0658851|-79.0018856|24|02||2
1|2|38000|21|4|35.0658851|-79.0018856|01|09|000000|2
2|2|38000|24|4|35.0658851|-79.0018856|01|06|000000|2
2|2|38000|0|4|35.0658851|-79.0018856|03|||2
1|2|38000|6|4|35.0766994|-78.9072921|24|02||2
1|2|38000|21|4|35.0766994|-78.9072921|01|09|000000|2
2|2|38000|24|4|35.0766994|-78.9072921|01|06|000000|2
2|2|38000|0|4|35.0766994|-78.9072921|03|||2
1|2|38000|6|4|35.0532980|-79.0020030|24|02||2
1|2|38000|21|4|35.0532980|-79.0020030|01|09|000000|2
2|2|38000|24|4|35.0532980|-79.0020030|01|06|000000|2
2|2|38000|0|4|35.0532980|-79.0020030|03|||2
1|2|38000|6|4|35.0791079|-78.9000473|24|02||2
1|2|38000|21|4|35.0791079|-78.9000473|01|09|000000|2
2|2|38000|24|4|35.0791079|-78.9000473|01|06|000000|2
2|2|38000|0|4|35.0791079|-78.9000473|03|||2
1|2|38000|6|4|35.0781651|-78.9053129|24|02||2
1|2|38000|21|4|35.0781651|-78.9053129|01|09|000000|2
2|2|38000|24|4|35.0781651|-78.9053129|01|06|000000|2
2|2|38000|0|4|35.0781651|-78.9053129|03|||2
1|2|38000|6|4|35.0544509|-78.9959746|24|02||2
1|2|38000|21|4|35.0544509|-78.9959746|01|09|000000|2
2|2|38000|24|4|35.0544509|-78.9959746|01|06|000000|2
2|2|38000|0|4|35.0544509|-78.9959746|03|||2
1|2|38000|6|4|35.0825909|-78.9088454|24|02||2
1|2|38000|21|4|35.0825909|-78.9088454|01|09|000000|2
2|2|38000|24|4|35.0825909|-78.9088454|01|06|000000|2
2|2|38000|0|4|35.0825909|-78.9088454|03|||2
1|2|38000|6|4|35.1091783|-78.9041481|24|02||2
1|2|38000|21|4|35.1091783|-78.9041481|01|09|000000|2
2|2|38000|24|4|35.1091783|-78.9041481|01|06|000000|2
2|2|38000|0|4|35.1091783|-78.9041481|03|||2
1|2|38000|6|4|35.1083810|-78.9086742|24|02||2
1|2|38000|21|4|35.1083810|-78.9086742|01|09|000000|2
2|2|38000|24|4|35.1083810|-78.9086742|01|06|000000|2
2|2|38000|0|4|35.1083810|-78.9086742|03|||2
1|2|38000|6|4|35.0403137|-78.8496516|24|02||2
1|2|38000|21|4|35.0403137|-78.8496516|01|09|000000|2
2|2|38000|24|4|35.0403137|-78.8496516|01|06|000000|2
2|2|38000|0|4|35.0403137|-78.8496516|03|||2
1|2|38000|6|4|35.1040144|-78.8756177|24|02||2
1|2|38000|21|4|35.1040144|-78.8756177|01|09|000000|2
2|2|38000|24|4|35.1040144|-78.8756177|01|06|000000|2
2|2|38000|0|4|35.1040144|-78.8756177|03|||2
1|2|38000|6|4|35.0807340|-78.8996868|24|02||2
1|2|38000|21|4|35.0807340|-78.8996868|01|09|000000|2
2|2|38000|24|4|35.0807340|-78.8996868|01|06|000000|2
2|2|38000|0|4|35.0807340|-78.8996868|03|||2
1|2|38000|6|4|35.0502370|-78.9888918|24|02||2
1|2|38000|21|4|35.0502370|-78.9888918|01|09|000000|2
2|2|38000|24|4|35.0502370|-78.9888918|01|06|000000|2
2|2|38000|0|4|35.0502370|-78.9888918|03|||2
1|2|38000|6|4|35.1045833|-78.9012500|24|02||2
1|2|38000|21|4|35.1045833|-78.9012500|01|09|000000|2
2|2|38000|24|4|35.1045833|-78.9012500|01|06|000000|2
2|2|38000|0|4|35.1045833|-78.9012500|03|||2
1|2|38000|6|4|35.0916649|-78.8754616|24|02||2
1|2|38000|21|4|35.0916649|-78.8754616|01|09|000000|2
2|2|38000|24|4|35.0916649|-78.8754616|01|06|000000|2
2|2|38000|0|4|35.0916649|-78.8754616|03|||2
1|2|38000|6|4|35.0782138|-78.9071598|24|02||2
1|2|38000|21|4|35.0782138|-78.9071598|01|09|000000|2
2|2|38000|24|4|35.0782138|-78.9071598|01|06|000000|2
2|2|38000|0|4|35.0782138|-78.9071598|03|||2
1|2|38000|6|4|35.1061704|-78.9237986|24|02||2
1|2|38000|21|4|35.1061704|-78.9237986|01|09|000000|2
2|2|38000|24|4|35.1061704|-78.9237986|01|06|000000|2
2|2|38000|0|4|35.1061704|-78.9237986|03|||2
1|2|38000|6|4|35.1114488|-78.9128612|24|02||2
1|2|38000|21|4|35.1114488|-78.9128612|01|09|000000|2
2|2|38000|24|4|35.1114488|-78.9128612|01|06|000000|2
2|2|38000|0|4|35.1114488|-78.9128612|03|||2
