county,FIPS,medicareOnly,medicaidOnly,dual,BCBS
 Iredell,97,0.0823,-0.0189,0.0702,-0.1943
 Jackson,99,-0.0761,-0.0359,-0.0803,-0.3535
 Johnston,101,0.0434,0.0042,0.1253,0.2192
 Jones,103,0.0368,0.0021,0.0353,0.1078
 Lee,105,-0.0662,-0.0125,0.0257,0.1487
 Lenoir,107,0.0745,0.0539,0.1215,-0.0084
 Lincoln,109,-0.0384,0.0235,0.0349,0.0837
 Macon,113,0.0094,-0.0337,0.0042,-0.0516
 Madison,115,-0.0031,-0.025,-0.1141,-0.1552
 Martin,117,0.0483,-0.0185,0.0692,0.0342
 McDowell,111,-0.0606,-0.0234,-0.0643,-0.1315
 Mecklenburg,119,-0.121,-0.0696,-0.1349,-0.2128
 Mitchell,121,-0.07,0.0403,0.0028,-0.0155
 Montgomery,123,0.024,0.0514,-0.0111,0.0417
 Moore,125,0.0012,0.0177,0.0094,0.0154
 Nash,127,-0.0105,0.0051,0.0543,-0.0713
 New Hanover,129,0.044,0.0931,0.1492,0.0616
 Northampton,131,-0.0263,0.0643,0.1984,-0.1158
 Onslow,133,-0.0781,0.0219,0.0511,-0.1076
 Orange,135,-0.1233,-0.0611,-0.0532,-0.2051
 Pamlico,137,0.0121,0.0223,0.0115,0.0879
 Pasquotank,139,0.0341,0.03,0.1015,0.2358
 Pender,141,0.0671,0.0164,0.0638,0.147
 Perquimans,143,-0.0233,-0.0245,-0.0712,0.1853
 Person,145,-0.0112,0.0293,0.0469,-0.2259
 Pitt,147,0.0311,-0.0864,-0.1726,-0.1133
 Polk,149,-0.0606,-0.0076,0.0126,-0.0772
 Randolph,151,-0.0502,-0.0359,-0.05,-0.1219
 Richmond,153,-0.168,-0.008,-0.0289,-0.1097
 Robeson,155,0.158,0.1406,0.1744,0.2478
 Rockingham,157,0.0267,0.0115,0.1344,0.3245
 Rowan,159,0.0261,.,-0.1515,0.0147
 Rutherford,161,0.0326,-0.064,-0.0335,-0.1581
 Sampson,163,0.0078,0.0294,-0.0084,0.0919
 Scotland,165,0.0109,0.0625,0.052,0.2578
 Stanly,167,-0.0313,.,0.1065,-0.1028
 Stokes,169,0.0305,-0.0043,-0.0194,-0.0265
 Surry,171,-0.131,-0.0093,-0.0253,-0.0497
 Swain,173,-0.056,-0.0193,-0.116,-0.3982
 Transylvania,175,0.0571,-0.0003,0.0684,-0.1981
 Tyrrell,177,-0.0105,-0.0033,0.0083,0.1666
 Union,179,-0.0011,.,-0.0642,-0.2989
 Vance,181,-0.0538,-0.0589,-0.0849,-0.0539
 Wake,183,0.1152,-0.0692,-0.0673,0.2621
 Warren,185,-0.0125,-0.1126,-0.1445,-0.3179
 Washington,187,-0.0041,0.0021,-0.0389,-0.0651
 Watauga,189,-0.0218,0.0119,0.0074,0.2081
 Wayne,191,0.0348,0.0318,-0.0609,0.1069
 Wilkes,193,0.1344,0.0308,0.0068,0.3026
 Wilson,195,0.0001,0.0177,-0.0544,0.1073
Yadkin,197,-0.0547,0.0082,0.0072,0.0238
Yancey,199,0.0911,-0.0075,0.0842,0.0935
*estimates are deviation from the overall intercept in the fixed effect table,,,,,
